year,effective_date,spine_point,salary,source
2018-19,1 August 2018,34,37345,derived
2018-19,1 August 2018,35,38459,derived
2018-19,1 August 2018,36,39609,derived
2018-19,1 August 2018,37,40793,derived
2018-19,1 August 2018,38,42036,derived
2018-19,1 August 2018,39,43266,derived
2018-19,1 August 2018,40,44559,derived
2018-19,1 August 2018,41,45892,derived
2018-19,1 August 2018,42,47264,derived
2018-19,1 August 2018,43,48676,derived
2018-19,1 August 2018,44,50132,derived
2018-19,1 August 2018,45,51630,derived
2018-19,1 August 2018,46,53174,derived
2018-19,1 August 2018,47,54764,derived
2018-19,1 August 2018,48,56402,derived
2018-19,1 August 2018,49,58089,derived
2018-19,1 August 2018,50,59827,derived
2018-19,1 August 2018,51,61618,derived
